downtime_id,equipment_id,failure_date,repair_start_date,repair_end_date,downtime_hours,failure_type,failure_component,root_cause,maintenance_type,repair_cost
DT00001,EQ0001,2023-05-20,2023-05-20 04:00:00,2023-05-22 05:15:36,49.26,Engine,Transmission,Root cause analysis: External damage,Predictive,12687.66
DT00002,EQ0001,2023-03-23,2023-03-23 07:00:00,2023-03-25 04:21:36,45.36,Structural,Bucket,Root cause analysis: External damage,Preventive,16160.31
DT00003,EQ0001,2024-06-18,2024-06-18 06:00:00,2024-06-18 22:18:00,16.3,Electrical,Brake System,Root cause analysis: Material fatigue,Predictive,6978.47
DT00004,EQ0001,2024-09-06,2024-09-06 02:00:00,2024-09-07 12:00:36,34.01,Mechanical,Undercarriage,Root cause analysis: External damage,Preventive,49923.49
DT00005,EQ0001,2023-07-24,2023-07-24 04:00:00,2023-07-24 11:07:48,7.13,Structural,Brake System,Root cause analysis: Operator error,Reactive,46696.34
DT00006,EQ0001,2023-05-21,2023-05-21 06:00:00,2023-05-23 21:33:00,63.55,Hydraulic,Hydraulic Pump,Root cause analysis: Material fatigue,Predictive,41770.38
DT00007,EQ0001,2024-09-11,2024-09-11 01:00:00,2024-09-12 21:49:12,44.82,Structural,Brake System,Root cause analysis: Wear and tear,Reactive,46977.04
DT00008,EQ0002,2024-06-25,2024-06-25 02:00:00,2024-06-25 12:04:48,10.08,Structural,Hydraulic Pump,Root cause analysis: Design flaw,Reactive,14446.94
DT00009,EQ0002,2024-03-07,2024-03-07 04:00:00,2024-03-09 08:13:48,52.23,Hydraulic,Boom,Root cause analysis: Material fatigue,Reactive,12930.5
DT00010,EQ0002,2023-04-15,2023-04-15 07:00:00,2023-04-15 15:27:36,8.46,Hydraulic,Engine,Root cause analysis: Wear and tear,Reactive,17011.05
DT00011,EQ0002,2023-09-25,2023-09-25 05:00:00,2023-09-27 03:36:00,46.6,Electrical,Undercarriage,Root cause analysis: External damage,Reactive,35430.54
DT00012,EQ0002,2023-01-20,2023-01-20 03:00:00,2023-01-20 12:49:48,9.83,Structural,Engine,Root cause analysis: Design flaw,Reactive,29334.22
DT00013,EQ0002,2023-10-31,2023-10-31 01:00:00,2023-11-01 09:05:24,32.09,Hydraulic,Cooling System,Root cause analysis: Wear and tear,Preventive,44996.77
DT00014,EQ0002,2024-03-06,2024-03-06 02:00:00,2024-03-08 03:44:24,49.74,Hydraulic,Boom,Root cause analysis: Material fatigue,Reactive,48704.93
