part_id,part_name,part_category,equipment_compatibility,unit_cost,reorder_point,reorder_quantity,lead_time_days,supplier_id
SP00001,Sensor Type-1,High,EQ0021,983.5,14,28,10,SUP017
SP00002,Valve Type-2,Low,EQ0019,450.33,9,18,16,SUP015
SP00003,Wire Type-3,High,EQ0041,894.61,15,30,11,SUP020
SP00004,Sensor Type-4,Low,EQ0011,432.01,4,8,8,SUP011
SP00005,Bearing Type-5,Medium,EQ0018,192.6,7,14,18,SUP020
SP00006,Wire Type-6,Low,EQ0024,172.06,10,20,19,SUP019
SP00007,Cylinder Type-7,Low,EQ0002,236.3,5,10,20,SUP005
SP00008,Bolt Type-8,High,EQ0011,729.62,7,14,8,SUP013
SP00009,Belt Type-9,Critical,EQ0002,787.07,25,50,3,SUP013
SP00010,Cylinder Type-10,Critical,EQ0006,967.68,29,58,5,SUP013
SP00011,Gasket Type-11,High,EQ0041,397.92,14,28,12,SUP005
SP00012,Seal Type-12,High,EQ0031,222.86,16,32,10,SUP015
SP00013,Cylinder Type-13,Medium,EQ0035,296.85,5,10,18,SUP006
SP00014,Sensor Type-14,Low,EQ0041,333.97,9,18,15,SUP018
SP00015,Gasket Type-15,Medium,EQ0006,266.74,6,12,19,SUP015
SP00016,Gasket Type-16,Medium,EQ0001,235.49,5,10,11,SUP001
SP00017,Cylinder Type-17,High,EQ0001,475.11,20,40,13,SUP016
SP00018,Brake Pad Type-18,Low,EQ0019,184.82,9,18,19,SUP020
SP00019,Bearing Type-19,Critical,EQ0036,2966.95,16,32,9,SUP014
SP00020,Pump Type-20,High,EQ0015,330.62,17,34,11,SUP009
SP00021,Belt Type-21,Low,EQ0042,331.4,7,14,11,SUP018
SP00022,Brake Pad Type-22,Medium,EQ0009,235.81,4,8,9,SUP010
SP00023,Belt Type-23,Low,EQ0040,327.98,7,14,18,SUP016
SP00024,Bearing Type-24,Medium,EQ0002,58.73,3,6,15,SUP006
SP00025,Belt Type-25,Medium,EQ0001,171.14,10,20,18,SUP008
SP00026,Belt Type-26,High,EQ0027,211.78,11,22,10,SUP010
SP00027,Brake Pad Type-27,Low,EQ0003,499.08,10,20,18,SUP011
SP00028,Belt Type-28,High,EQ0035,244.83,17,34,6,SUP016
SP00029,Seal Type-29,High,EQ0001,916.56,13,26,11,SUP004
SP00030,Brake Pad Type-30,High,EQ0048,507.84,19,38,8,SUP002
SP00031,Bearing Type-31,Low,EQ0043,380.9,4,8,15,SUP007
SP00032,Valve Type-32,Low,EQ0021,356.65,7,14,21,SUP006
SP00033,Wire Type-33,Critical,EQ0017,3851.26,27,54,4,SUP016
SP00034,Wire Type-34,Medium,EQ0043,139.43,3,6,20,SUP007
SP00035,Belt Type-35,High,EQ0011,706.33,15,30,5,SUP009
SP00036,Sensor Type-36,Critical,EQ0003,2281.14,17,34,3,SUP019
SP00037,Brake Pad Type-37,Low,EQ0050,359.78,5,10,12,SUP003
SP00038,Bearing Type-38,High,EQ0004,599.94,15,30,15,SUP002
SP00039,Hose Type-39,High,EQ0032,761.06,8,16,7,SUP008
SP00040,Hose Type-40,Medium,EQ0013,412.49,10,20,18,SUP001
SP00041,Bolt Type-41,Low,EQ0003,211.18,5,10,11,SUP016
SP00042,Bolt Type-42,Low,EQ0037,301.56,10,20,10,SUP006
SP00043,Cylinder Type-43,Medium,EQ0039,195.66,10,20,11,SUP018
SP00044,Seal Type-44,Critical,EQ0017,2890.12,24,48,7,SUP018
SP00045,Hose Type-45,Low,EQ0012,50.32,9,18,18,SUP001
SP00046,Sensor Type-46,Medium,EQ0047,399.21,6,12,12,SUP003
SP00047,Wire Type-47,Low,EQ0036,135.44,10,20,19,SUP005
SP00048,Sensor Type-48,Medium,EQ0007,195.17,8,16,8,SUP017
SP00049,Wire Type-49,Critical,EQ0003,697.0,14,28,5,SUP007
SP00050,Belt Type-50,Low,EQ0042,136.23,3,6,16,SUP013
SP00051,Wire Type-51,Low,EQ0024,286.62,7,14,7,SUP008
SP00052,Sensor Type-52,Critical,EQ0006,558.89,16,32,10,SUP015
SP00053,Brake Pad Type-53,Critical,EQ0046,2124.17,23,46,8,SUP002
SP00054,Sensor Type-54,Medium,EQ0020,288.06,4,8,20,SUP003
SP00055,Bearing Type-55,Critical,EQ0013,955.51,17,34,9,SUP007
SP00056,Cylinder Type-56,High,EQ0048,656.02,10,20,13,SUP018
SP00057,Pump Type-57,Critical,EQ0044,3948.28,28,56,8,SUP015
SP00058,Bolt Type-58,Low,EQ0012,447.27,5,10,19,SUP018
SP00059,Pump Type-59,Medium,EQ0023,345.89,10,20,21,SUP011
SP00060,Cylinder Type-60,Medium,EQ0041,430.18,9,18,19,SUP014
SP00061,Bolt Type-61,Medium,EQ0050,323.79,6,12,13,SUP018
SP00062,Bolt Type-62,Medium,EQ0026,212.0,10,20,14,SUP001
SP00063,Bolt Type-63,Critical,EQ0034,4923.3,29,58,3,SUP005
SP00064,Gasket Type-64,Critical,EQ0021,1851.5,17,34,6,SUP001
SP00065,Brake Pad Type-65,Medium,EQ0003,463.6,5,10,8,SUP015
SP00066,Hose Type-66,High,EQ0016,310.73,16,32,14,SUP008
SP00067,Gasket Type-67,Medium,EQ0014,91.36,9,18,16,SUP003
SP00068,Bolt Type-68,Medium,EQ0045,406.81,5,10,14,SUP019
SP00069,Belt Type-69,Medium,EQ0050,66.82,9,18,8,SUP002
SP00070,Brake Pad Type-70,Medium,EQ0008,206.57,9,18,13,SUP008
SP00071,Bolt Type-71,Critical,EQ0004,3352.49,30,60,9,SUP010
SP00072,Cylinder Type-72,Critical,EQ0021,1936.92,28,56,5,SUP017
SP00073,Bolt Type-73,High,EQ0049,322.56,17,34,12,SUP020
SP00074,Sensor Type-74,Critical,EQ0010,1499.39,19,38,9,SUP005
SP00075,Hose Type-75,Critical,EQ0017,2641.35,11,22,9,SUP003
SP00076,Pump Type-76,Low,EQ0009,398.22,5,10,19,SUP016
SP00077,Cylinder Type-77,High,EQ0040,590.29,11,22,13,SUP017
SP00078,Bearing Type-78,High,EQ0044,257.32,18,36,10,SUP019
SP00079,Belt Type-79,Critical,EQ0023,3522.86,23,46,8,SUP007
SP00080,Hose Type-80,Medium,EQ0020,317.24,3,6,19,SUP006
SP00081,Hose Type-81,Low,EQ0015,330.43,10,20,7,SUP007
SP00082,Wire Type-82,Medium,EQ0048,120.2,4,8,8,SUP002
SP00083,Bearing Type-83,High,EQ0022,895.0,14,28,5,SUP004
SP00084,Gasket Type-84,Low,EQ0048,262.04,8,16,10,SUP018
SP00085,Bearing Type-85,High,EQ0031,637.14,13,26,13,SUP020
SP00086,Bolt Type-86,High,EQ0038,756.06,5,10,11,SUP017
SP00087,Filter Type-87,Medium,EQ0045,126.64,7,14,10,SUP020
SP00088,Gasket Type-88,Critical,EQ0025,2592.32,10,20,4,SUP009
SP00089,Wire Type-89,Medium,EQ0042,438.93,3,6,11,SUP013
SP00090,Bearing Type-90,Low,EQ0021,278.84,4,8,21,SUP016
SP00091,Sensor Type-91,Critical,EQ0036,1338.88,26,52,10,SUP001
